State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Date Local,Units of Measure,Event Type,Observation Count,Observation Percent,Arithmetic Mean,1st Max Value,1st Max Hour,AQI,Method Code,Method Name,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,parameter
36,61,79,88101,1,40.7997,-73.93432,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,2021-02-03,Micrograms/cubic meter (LC),,1,100.0,2.4,2.4,0,13.0,145.0,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,IS 45,"SCHOOL IS 45, 2351 1ST AVENUE",New York,New York,New York,"New York-Newark-Jersey City, NY-NJ-PA",2024-05-17,pm25
36,61,79,88101,1,40.7997,-73.93432,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,2021-02-06,Micrograms/cubic meter (LC),,1,100.0,5.0,5.0,0,28.0,145.0,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,IS 45,"SCHOOL IS 45, 2351 1ST AVENUE",New York,New York,New York,"New York-Newark-Jersey City, NY-NJ-PA",2024-05-17,pm25
36,61,79,88101,1,40.7997,-73.93432,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,2021-02-09,Micrograms/cubic meter (LC),,1,100.0,12.9,12.9,0,58.0,145.0,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,IS 45,"SCHOOL IS 45, 2351 1ST AVENUE",New York,New York,New York,"New York-Newark-Jersey City, NY-NJ-PA",2024-05-17,pm25
36,61,79,88101,1,40.7997,-73.93432,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,2021-02-15,Micrograms/cubic meter (LC),,1,100.0,10.9,10.9,0,54.0,145.0,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,IS 45,"SCHOOL IS 45, 2351 1ST AVENUE",New York,New York,New York,"New York-Newark-Jersey City, NY-NJ-PA",2024-05-17,pm25
36,61,79,88101,1,40.7997,-73.93432,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,2021-02-18,Micrograms/cubic meter (LC),,1,100.0,5.0,5.0,0,28.0,145.0,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,IS 45,"SCHOOL IS 45, 2351 1ST AVENUE",New York,New York,New York,"New York-Newark-Jersey City, NY-NJ-PA",2024-05-17,pm25
36,61,79,88101,1,40.7997,-73.93432,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,2021-02-24,Micrograms/cubic meter (LC),,1,100.0,6.6,6.6,0,37.0,145.0,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,IS 45,"SCHOOL IS 45, 2351 1ST AVENUE",New York,New York,New York,"New York-Newark-Jersey City, NY-NJ-PA",2024-05-17,pm25
36,61,79,88101,1,40.7997,-73.93432,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,2021-02-27,Micrograms/cubic meter (LC),,1,100.0,5.5,5.5,0,31.0,145.0,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,IS 45,"SCHOOL IS 45, 2351 1ST AVENUE",New York,New York,New York,"New York-Newark-Jersey City, NY-NJ-PA",2024-05-17,pm25
36,61,79,88101,1,40.7997,-73.93432,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,2021-03-02,Micrograms/cubic meter (LC),,1,100.0,2.5,2.5,0,14.0,145.0,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,IS 45,"SCHOOL IS 45, 2351 1ST AVENUE",New York,New York,New York,"New York-Newark-Jersey City, NY-NJ-PA",2024-05-17,pm25
36,61,79,88101,1,40.7997,-73.93432,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,2021-03-05,Micrograms/cubic meter (LC),,1,100.0,2.3,2.3,0,13.0,145.0,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,IS 45,"SCHOOL IS 45, 2351 1ST AVENUE",New York,New York,New York,"New York-Newark-Jersey City, NY-NJ-PA",2024-05-17,pm25
36,61,79,88101,1,40.7997,-73.93432,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,2021-03-17,Micrograms/cubic meter (LC),,1,100.0,9.0,9.0,0,50.0,145.0,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,IS 45,"SCHOOL IS 45, 2351 1ST AVENUE",New York,New York,New York,"New York-Newark-Jersey City, NY-NJ-PA",2024-05-17,pm25
36,61,79,88101,1,40.7997,-73.93432,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,2021-03-20,Micrograms/cubic meter (LC),,1,100.0,6.7,6.7,0,37.0,145.0,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,IS 45,"SCHOOL IS 45, 2351 1ST AVENUE",New York,New York,New York,"New York-Newark-Jersey City, NY-NJ-PA",2024-05-17,pm25
36,61,79,88101,1,40.7997,-73.93432,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,2021-03-26,Micrograms/cubic meter (LC),,1,100.0,18.7,18.7,0,69.0,145.0,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,IS 45,"SCHOOL IS 45, 2351 1ST AVENUE",New York,New York,New York,"New York-Newark-Jersey City, NY-NJ-PA",2024-05-17,pm25
36,61,79,88101,1,40.7997,-73.93432,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,2021-03-29,Micrograms/cubic meter (LC),,1,100.0,2.4,2.4,0,13.0,145.0,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,IS 45,"SCHOOL IS 45, 2351 1ST AVENUE",New York,New York,New York,"New York-Newark-Jersey City, NY-NJ-PA",2024-05-17,pm25
36,61,79,88101,1,40.7997,-73.93432,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,2021-04-01,Micrograms/cubic meter (LC),,1,100.0,2.8,2.8,0,16.0,145.0,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,IS 45,"SCHOOL IS 45, 2351 1ST AVENUE",New York,New York,New York,"New York-Newark-Jersey City, NY-NJ-PA",2024-05-17,pm25
36,61,79,88101,1,40.7997,-73.93432,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,2021-04-04,Micrograms/cubic meter (LC),,1,100.0,7.5,7.5,0,42.0,145.0,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,IS 45,"SCHOOL IS 45, 2351 1ST AVENUE",New York,New York,New York,"New York-Newark-Jersey City, NY-NJ-PA",2024-05-17,pm25
36,61,79,88101,1,40.7997,-73.93432,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,2021-04-07,Micrograms/cubic meter (LC),,1,100.0,5.1,5.1,0,28.0,145.0,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,IS 45,"SCHOOL IS 45, 2351 1ST AVENUE",New York,New York,New York,"New York-Newark-Jersey City, NY-NJ-PA",2024-05-17,pm25
36,61,79,88101,1,40.7997,-73.93432,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,2021-04-10,Micrograms/cubic meter (LC),,1,100.0,6.9,6.9,0,38.0,145.0,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,IS 45,"SCHOOL IS 45, 2351 1ST AVENUE",New York,New York,New York,"New York-Newark-Jersey City, NY-NJ-PA",2024-05-17,pm25
36,61,79,88101,1,40.7997,-73.93432,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,2021-04-13,Micrograms/cubic meter (LC),,1,100.0,4.3,4.3,0,24.0,145.0,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,IS 45,"SCHOOL IS 45, 2351 1ST AVENUE",New York,New York,New York,"New York-Newark-Jersey City, NY-NJ-PA",2024-05-17,pm25
36,61,79,88101,1,40.7997,-73.93432,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,2021-04-16,Micrograms/cubic meter (LC),,1,100.0,2.0,2.0,0,11.0,145.0,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,IS 45,"SCHOOL IS 45, 2351 1ST AVENUE",New York,New York,New York,"New York-Newark-Jersey City, NY-NJ-PA",2024-05-17,pm25
36,61,79,88101,1,40.7997,-73.93432,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,2021-04-19,Micrograms/cubic meter (LC),,1,100.0,8.0,8.0,0,44.0,145.0,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,IS 45,"SCHOOL IS 45, 2351 1ST AVENUE",New York,New York,New York,"New York-Newark-Jersey City, NY-NJ-PA",2024-05-17,pm25
36,61,79,88101,1,40.7997,-73.93432,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,2021-04-22,Micrograms/cubic meter (LC),,1,100.0,3.1,3.1,0,17.0,145.0,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,IS 45,"SCHOOL IS 45, 2351 1ST AVENUE",New York,New York,New York,"New York-Newark-Jersey City, NY-NJ-PA",2024-05-17,pm25
36,61,79,88101,1,40.7997,-73.93432,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,2021-04-25,Micrograms/cubic meter (LC),,1,100.0,8.4,8.4,0,47.0,145.0,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,IS 45,"SCHOOL IS 45, 2351 1ST AVENUE",New York,New York,New York,"New York-Newark-Jersey City, NY-NJ-PA",2024-05-17,pm25
36,61,79,88101,1,40.7997,-73.93432,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,2021-04-28,Micrograms/cubic meter (LC),,1,100.0,12.5,12.5,0,57.0,145.0,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,IS 45,"SCHOOL IS 45, 2351 1ST AVENUE",New York,New York,New York,"New York-Newark-Jersey City, NY-NJ-PA",2024-05-17,pm25
36,61,79,88101,1,40.7997,-73.93432,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,2021-05-01,Micrograms/cubic meter (LC),,1,100.0,2.5,2.5,0,14.0,145.0,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,IS 45,"SCHOOL IS 45, 2351 1ST AVENUE",New York,New York,New York,"New York-Newark-Jersey City, NY-NJ-PA",2024-05-17,pm25
36,61,79,88101,1,40.7997,-73.93432,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,2021-05-04,Micrograms/cubic meter (LC),,1,100.0,6.1,6.1,0,34.0,145.0,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,IS 45,"SCHOOL IS 45, 2351 1ST AVENUE",New York,New York,New York,"New York-Newark-Jersey City, NY-NJ-PA",2024-05-17,pm25
36,61,79,88101,1,40.7997,-73.93432,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,2021-05-07,Micrograms/cubic meter (LC),,1,100.0,4.1,4.1,0,23.0,145.0,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,IS 45,"SCHOOL IS 45, 2351 1ST AVENUE",New York,New York,New York,"New York-Newark-Jersey City, NY-NJ-PA",2024-05-17,pm25
36,61,79,88101,1,40.7997,-73.93432,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,2021-05-10,Micrograms/cubic meter (LC),,1,100.0,2.8,2.8,0,16.0,145.0,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,IS 45,"SCHOOL IS 45, 2351 1ST AVENUE",New York,New York,New York,"New York-Newark-Jersey City, NY-NJ-PA",2024-05-17,pm25
36,61,79,88101,1,40.7997,-73.93432,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,2021-05-13,Micrograms/cubic meter (LC),,1,100.0,5.0,5.0,0,28.0,145.0,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,IS 45,"SCHOOL IS 45, 2351 1ST AVENUE",New York,New York,New York,"New York-Newark-Jersey City, NY-NJ-PA",2024-05-17,pm25
36,61,79,88101,1,40.7997,-73.93432,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,2021-05-16,Micrograms/cubic meter (LC),,1,100.0,8.1,8.1,0,45.0,145.0,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,IS 45,"SCHOOL IS 45, 2351 1ST AVENUE",New York,New York,New York,"New York-Newark-Jersey City, NY-NJ-PA",2024-05-17,pm25
36,61,79,88101,1,40.7997,-73.93432,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,2021-05-19,Micrograms/cubic meter (LC),,1,100.0,9.5,9.5,0,52.0,145.0,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,IS 45,"SCHOOL IS 45, 2351 1ST AVENUE",New York,New York,New York,"New York-Newark-Jersey City, NY-NJ-PA",2024-05-17,pm25
